FRITZ HAMBRICK,FRITZ HAMBRICK (TX),1800/1800 Singles/Doubles Points AMATEUR
FRITZ ISLER,FRITZ ISLER (SW),1800/1800 Singles/Doubles Points AMATEUR
FRITZ KINCHEN,FRITZ KINCHEN (MS),1800/1800 Singles/Doubles Points AMATEUR
FULTON HAIGHT,FULTON HAIGHT (CA),1182/1182 Singles/Doubles Points ROOKIE
GABE SANTA CRUZ,GABE SANTA CRUZ (FL),1800/1800 Singles/Doubles Points AMATEUR
Gabe Shrauder,Gabe Shrauder (FL),1034/1213 Singles/Doubles Points ROOKIE
Gabe Sisco,Gabe Sisco (NY),401/417 Singles/Doubles Points JUNIOR AMATEUR
Gabe Stephens,Gabe Stephens (KY),600/600 Singles/Doubles Points JUNIOR PRO
GABE VOWLES,GABE VOWLES (MI),300/300 Singles/Doubles Points JUNIOR AMATEUR
GABE WELLS,GABE WELLS (MS),1182/1182 Singles/Doubles Points ROOKIE
Gabor Rozsos,Gabor Rozsos (HU),3116/3108 Singles/Doubles Points PRO
Gabriel Bell,Gabriel Bell (NM),1248/1208 Singles/Doubles Points ROOKIE
GABRIEL BORGES,Gabriel Bell (NM),1248/1208 Singles/Doubles Points ROOKIE
GABRIEL COOPER,GABRIEL BORGES (CO),2166/2166 Singles/Doubles Points EXPERT
GABRIEL DEHERRERA,GABRIEL DEHERRERA (CO),1800/1800 Singles/Doubles Points AMATEUR
GABRIEL GRAY,GABRIEL GRAY (NC),1800/1800 Singles/Doubles Points AMATEUR
Gabriel Ross-Winfrey,GABRIEL GRAY (NC),1800/1800 Singles/Doubles Points AMATEUR
GABRIEL TORO,Gabriel Ross-Winfrey (KY),801/801 Singles/Doubles Points BEGINNER
Gabriel Torres,Gabriel Torres (CO),838/1099 Singles/Doubles Points ROOKIE
Gabriel Wawrin,Gabriel Wawrin (OH),801/801 Singles/Doubles Points BEGINNER
Gabriele B.,Gabriele B. (),1600/1600 Singles/Doubles Points AMATEUR
Gage Lyons,Gabriele B. (),1600/1600 Singles/Doubles Points AMATEUR
GAIL COLE,Gage Lyons (TX),801/801 Singles/Doubles Points BEGINNER
GAIL KOHTZ,GAIL KOHTZ (NE),1800/1800 Singles/Doubles Points AMATEUR
Gail Kurt,Gail Kurt (IA),1800/1800 Singles/Doubles Points AMATEUR
Gaines Haney,Gaines Haney (VA),1182/1182 Singles/Doubles Points ROOKIE
GALE BRUCE,GALE BRUCE (CO),1182/1182 Singles/Doubles Points ROOKIE
GALE LEIBROCK,GALE LEIBROCK (OH),1182/1182 Singles/Doubles Points ROOKIE
GALE MCFARLAND,GALE MCFARLAND (MN),1800/1800 Singles/Doubles Points AMATEUR
Garan Shaw,Garan Shaw (CO),1126/1170 Singles/Doubles Points ROOKIE
Garet Peterson,Garet Peterson (AL),801/801 Singles/Doubles Points BEGINNER
Gargiulo Jody,Gargiulo Jody (VA),801/801 Singles/Doubles Points BEGINNER
Garin Hess,Garin Hess (UT),800/800 Singles/Doubles Points BEGINNER
GARL MATHIS,GARL MATHIS (OK),1182/1182 Singles/Doubles Points ROOKIE
GARLAND FULP,GARLAND FULP (NC),1800/1800 Singles/Doubles Points AMATEUR
GARLAND GODWIN,GARLAND GODWIN (AL),1200/1665 Singles/Doubles Points AMATEUR
GARNET VINNING,GARNET VINNING (LA),1800/1800 Singles/Doubles Points AMATEUR
GARON PEARSON,GARON PEARSON (XX),1800/1800 Singles/Doubles Points AMATEUR
Garret Clark,Garret Clark (OK),2024/2301 Singles/Doubles Points EXPERT
GARRET SCHERKENBACH,GARRET SCHERKENBACH (CO),5200/5440 Singles/Doubles Points MASTER
