BRIAN WYLLIE,BRIAN WYLLIE (UT),1800/1800 Singles/Doubles Points AMATEUR
BRIAN ZOCKER,BRIAN ZOCKER (SD),1800/1800 Singles/Doubles Points AMATEUR
Brian Zurcher,Brian Zurcher (UT),800/800 Singles/Doubles Points BEGINNER
BRICE WATERS,BRICE WATERS (ID),1200/1200 Singles/Doubles Points ROOKIE
BRIDGETT DIFULVIO,BRIDGETT DIFULVIO (VT),1182/1182 Singles/Doubles Points ROOKIE
BRIDGETTE LUSKO,BRIDGETTE LUSKO (AZ),1800/1800 Singles/Doubles Points AMATEUR
BRIEN MATTHYS,BRIEN MATTHYS (MO),1800/1800 Singles/Doubles Points AMATEUR
BRIGITTE THIELE,BRIGITTE THIELE (GE),1800/1800 Singles/Doubles Points AMATEUR
Brinton Atkinson,Brinton Atkinson (UT),800/800 Singles/Doubles Points BEGINNER
BRITT KAUFFMAN,BRITT KAUFFMAN (TX),1980/2072 Singles/Doubles Points EXPERT
Britt Lehmann,Britt Lehmann (),1600/1600 Singles/Doubles Points AMATEUR
BRITT TABOR,BRITT TABOR (FL),1182/1182 Singles/Doubles Points ROOKIE
BROCK JACKSON,BROCK JACKSON (TX),1800/1800 Singles/Doubles Points AMATEUR
Brody Baughman,Brody Baughman (),801/801 Singles/Doubles Points BEGINNER
BRODY SIMKO,BRODY SIMKO (PA),300/300 Singles/Doubles Points JUNIOR AMATEUR
BRONSON BLUM,BRONSON BLUM (WI),1800/1800 Singles/Doubles Points AMATEUR
BRONSON KENT,BRONSON KENT (MS),1182/1182 Singles/Doubles Points ROOKIE
BROOKE CLEM,BROOKE CLEM (MS),1800/1800 Singles/Doubles Points AMATEUR
BROOKS BALLARD,BROOKS BALLARD (IA),1800/1800 Singles/Doubles Points AMATEUR
Brooks Hastings,Brooks Hastings (NY),801/801 Singles/Doubles Points BEGINNER
BRUCE ANDERSON,BRUCE ANDERSON (WA),1800/1800 Singles/Doubles Points AMATEUR
