RANDY MIXEL,RANDY MIXEL (WI),1800/1800 Singles/Doubles Points AMATEUR
RANDY MODLER,RANDY MODLER (IA),1182/1182 Singles/Doubles Points ROOKIE
RANDY MUBARAK,RANDY MUBARAK (TN),801/801 Singles/Doubles Points BEGINNER
RANDY NICHOLAS,RANDY NICHOLAS (TX),1800/1800 Singles/Doubles Points AMATEUR
RANDY NIXON,RANDY NIXON (SD),1800/1800 Singles/Doubles Points AMATEUR
RANDY NOEL,RANDY NOEL (OH),1800/1800 Singles/Doubles Points AMATEUR
Randy Nye,Randy Nye (FL),1060/1020 Singles/Doubles Points ROOKIE
Randy Osban,RANDY OSBAN (TX),1600/1592 Singles/Doubles Points AMATEUR
RANDY OSBAN,RANDY OSBAN (TX),1600/1592 Singles/Doubles Points AMATEUR
RANDY OTWORTH,RANDY OTWORTH (OH),1182/1182 Singles/Doubles Points ROOKIE
RANDY PARKER,RANDY PARKER (AL),1182/1182 Singles/Doubles Points ROOKIE
RANDY PETERSON,RANDY PETERSON (WA),1182/1182 Singles/Doubles Points ROOKIE
RANDY PHILLIPS,RANDY PHILLIPS (TX),1800/1800 Singles/Doubles Points AMATEUR
RANDY PIERCY,RANDY PIERCY (NC),1800/1800 Singles/Doubles Points AMATEUR
RANDY PORTER,RANDY PIERCY (NC),1800/1800 Singles/Doubles Points AMATEUR
RANDY PRICE,Brandy Porterfield (OK),801/801 Singles/Doubles Points 801/801 Women's Singles/Doubles Points BEGINNER
RANDY RAPOSO,RANDY RAPOSO (AL),2284/2374 Singles/Doubles Points EXPERT
RANDY RODRIGUEZ,RANDY RODRIGUEZ (TX),1800/1800 Singles/Doubles Points AMATEUR
RANDY ROMERO,RANDY ROMERO (NM),1800/1800 Singles/Doubles Points AMATEUR
RANDY ROOT,RANDY ROOT (LA),1800/1800 Singles/Doubles Points AMATEUR
RANDY ROSELL,RANDY ROSELL (MO),1800/1800 Singles/Doubles Points AMATEUR
RANDY RUMBAUGH,RANDY RUMBAUGH (OK),1800/1800 Singles/Doubles Points AMATEUR
RANDY RUPAR,RANDY RUPAR (CA),1182/1182 Singles/Doubles Points ROOKIE
RANDY RUSSELL,RANDY RUSSELL (WI),1800/1800 Singles/Doubles Points AMATEUR
RANDY SAEED,RANDY SAEED (TX),1182/1182 Singles/Doubles Points ROOKIE
RANDY SANDERS,RANDY SANDERS (TX),1800/1800 Singles/Doubles Points AMATEUR
RANDY SCANLON,RANDY SCANLON (NH),1182/1182 Singles/Doubles Points ROOKIE
RANDY SECREST,RANDY SECREST (OH),2362/2362 Singles/Doubles Points EXPERT
RANDY SIMMONS,RANDY SIMMONS (AL),1800/1800 Singles/Doubles Points AMATEUR
RANDY SIMONTON,RANDY SIMONTON (AL),1182/1182 Singles/Doubles Points ROOKIE
RANDY SLICKER,RANDY SLICKER (OH),1182/1182 Singles/Doubles Points ROOKIE
RANDY STAGNER,RANDY STAGNER (MS),1182/1182 Singles/Doubles Points ROOKIE
RANDY STARK,RANDY STARK (AZ),3930/3906 Singles/Doubles Points PRO
RANDY STEELE,RANDY STEELE (TX),1800/1800 Singles/Doubles Points AMATEUR
RANDY STOLZBERG,RANDY D STOLZBERG (NY),4077/4124 Singles/Doubles Points PRO
RANDY SWITTS,RANDY SWITTS (GA),1800/1800 Singles/Doubles Points AMATEUR
RANDY TAYLOR,RANDY TAYLOR (UT),1800/1800 Singles/Doubles Points AMATEUR
RANDY TURNER,RANDY TURNER (MO),1800/1800 Singles/Doubles Points AMATEUR
RANDY VOIGT,RANDY VOIGT (WI),1800/1800 Singles/Doubles Points AMATEUR
RANDY VOLZKE,RANDY VOLZKE (SD),1800/1800 Singles/Doubles Points AMATEUR
RANDY WILLIAMS,RANDY WILLIAMS (AR),2166/2166 Singles/Doubles Points EXPERT
Raphael Hampel,Raphael Hampel (DE),3253/2468 Singles/Doubles Points PRO
Rasel Ochana,Rasel Ochana (IL),2563/3042 Singles/Doubles Points PRO
RASHAD TABAK,RASHAD TABAK (MS),1182/1182 Singles/Doubles Points ROOKIE
RASHEL BERTELSEN,RASHEL BERTELSEN (UT),802/802 Singles/Doubles Points BEGINNER
Rashid Al Nasseri,Rashid Al Nasseri (AE),3100/3100 Singles/Doubles Points PRO
Raul Artiaga Lopez,Raul Artiaga Lopez (Madrid),2100/2100 Singles/Doubles Points EXPERT
RAUL RIVERA,RAUL RIVERA (TX),1600/1600 Singles/Doubles Points AMATEUR
RAUL VALDEZ,RAUL VALDEZ (NC),1182/1182 Singles/Doubles Points ROOKIE
RAURLIO TREJO,RAUL VALDEZ (NC),1182/1182 Singles/Doubles Points ROOKIE
RAY APPLETON,RAURLIO TREJO (TX),1800/1800 Singles/Doubles Points AMATEUR
RAY ARCHULETA,RAY ARCHULETA (NM),1182/1182 Singles/Doubles Points ROOKIE
RAY AYERS,RAY AYERS (AL),1600/1600 Singles/Doubles Points AMATEUR
RAY CAMP,RAY CAMP (NC),1182/1182 Singles/Doubles Points ROOKIE
RAY CANTERBURY,RAY CANTERBURY (PA),1800/1800 Singles/Doubles Points AMATEUR
Ray Carr,Ray Carr (OK),1502/1530 Singles/Doubles Points AMATEUR
RAY CRAGER,RAY CRAGER (VA),1800/1800 Singles/Doubles Points AMATEUR
Ray Culotta,Ray Culotta (LA),1800/1800 Singles/Doubles Points AMATEUR
Ray Demperio,Ray Demperio (NY),1182/1182 Singles/Doubles Points ROOKIE
RAY DUNBAR,RAY DUNBAR (NC),1800/1800 Singles/Doubles Points AMATEUR
RAY ERB,RAY ERB (NY),1800/1800 Singles/Doubles Points AMATEUR
RAY FRITTS,RAY FRITTS (NC),1800/1800 Singles/Doubles Points AMATEUR
Ray Gansemer,Ray Gansemer (CO),801/801 Singles/Doubles Points BEGINNER
