RITA JOHNSON,RITA JOHNSON (AZ),1182/1182 Singles/Doubles Points / Women's Singles/Doubles Points
RITCHIE HOTCHKISS,RITCHIE HOTCHKISS (FL),1800/1800 Singles/Doubles Points AMATEUR
RITCHIE HYNES,RITCHIE HYNES (FL),1800/1800 Singles/Doubles Points AMATEUR
RITCHIE WHITIS,RITCHIE WHITIS (IN),1800/1800 Singles/Doubles Points AMATEUR
RITO RODRIQUEZ,RITO RODRIQUEZ (TX),1182/1182 Singles/Doubles Points ROOKIE
RJ PIPINO,RJ PIPINO (NY),1800/1800 Singles/Doubles Points AMATEUR
ROALD SINOPOLI,ROALD SINOPOLI (CA),1800/1800 Singles/Doubles Points AMATEUR
ROB ASKEY,ROB ASKEY (PA),1800/1800 Singles/Doubles Points AMATEUR
Rob Atkinson,Rob Atkinson (UT),800/800 Singles/Doubles Points BEGINNER
Rob Bachman,Rob Bachman (UT),800/800 Singles/Doubles Points BEGINNER
Rob Balza,Rob Balza (WI),2162/2614 Singles/Doubles Points EXPERT
ROB BERNARD,ROB BERNARD (NY),1800/1800 Singles/Doubles Points AMATEUR
ROB BISHOP,ROB BISHOP (CA),1816/1816 Singles/Doubles Points AMATEUR
Rob Burns,"Rob ""old man"" Burns (IL)",1182/1182 Singles/Doubles Points ROOKIE
ROB BURNS,"Rob ""old man"" Burns (IL)",1182/1182 Singles/Doubles Points ROOKIE
ROB CHANEY,ROB CHANEY (CA),1800/1800 Singles/Doubles Points AMATEUR
ROB COPE,ROB COPE (NY),1800/1800 Singles/Doubles Points AMATEUR
ROB DAMICO,ROB DAMICO (TX),1800/1800 Singles/Doubles Points AMATEUR
Rob Davey,Rob Davey (Bristol),1600/1600 Singles/Doubles Points AMATEUR
ROB DEBNATH,ROB DEBNATH (IN),1182/1182 Singles/Doubles Points / Women's Singles/Doubles Points
ROB EDWARDS,ROB EDWARDS (CA),1800/1800 Singles/Doubles Points AMATEUR
ROB FEENEY,ROB FEENEY (IN),1800/1800 Singles/Doubles Points AMATEUR
Rob Felt,Rob Felt (UT),804/804 Singles/Doubles Points BEGINNER
ROB FOWLER,ROB FOWLER (AL),1182/1182 Singles/Doubles Points ROOKIE
ROB GABLE,ROB GABLE (GA),1800/1800 Singles/Doubles Points AMATEUR
Rob Garrett,Rob Garrett (CO),801/1098 Singles/Doubles Points ROOKIE
ROB GOMEZ,ROB GOMEZ (FL),1820/1808 Singles/Doubles Points AMATEUR
ROB GRAF,ROB GRAF (KS),1182/1182 Singles/Doubles Points ROOKIE
Rob Grollinger,Rob Grollinger (FL),1000/1000 Singles/Doubles Points ROOKIE
ROB GROLLINGER,Rob Grollinger (FL),1000/1000 Singles/Doubles Points ROOKIE
Rob Harlow,Rob Harlow (CAN),887/887 Singles/Doubles Points BEGINNER
ROB HARTMAN,ROB HARTMAN (NY),1800/1800 Singles/Doubles Points AMATEUR
ROB HEMMERLING,ROB HEMMERLING (AZ),1800/1800 Singles/Doubles Points AMATEUR
ROB HOOVER,ROB HOOVER (KS),1800/1800 Singles/Doubles Points AMATEUR
Rob Hotaling,Rob Hotaling (NY),801/801 Singles/Doubles Points BEGINNER
Rob Houtmeyers,Rob Houtmeyers (Leuven),1600/1600 Singles/Doubles Points AMATEUR
ROB KADEL,ROB KADEL (CA),1182/1182 Singles/Doubles Points ROOKIE
ROB KADLE,ROB KADLE (FL),2163/2378 Singles/Doubles Points EXPERT
ROB KATO,ROB KATO (CA),1800/1800 Singles/Doubles Points AMATEUR
ROB KINCAID,ROB KINCAID (MA),1182/1182 Singles/Doubles Points ROOKIE
ROB KNOWLTON,ROB KNOWLTON (PA),1800/1800 Singles/Doubles Points AMATEUR
ROB LISIECKI,ROB LISIECKI (MI),1800/1800 Singles/Doubles Points AMATEUR
ROB MARCHINKOWSKI,ROB MARCHINKOWSKI (NH),2144/2224 Singles/Doubles Points EXPERT
ROB MCGOWAN,ROB MCGOWAN (NY),1182/1182 Singles/Doubles Points ROOKIE
ROB MCGUINESS,ROB MCGUINESS (NH),1182/1182 Singles/Doubles Points ROOKIE
ROB MCKAY,ROB MCKAY (NY),1800/1800 Singles/Doubles Points AMATEUR
ROB MCNEAL,ROB MCNEAL (CA),1800/1800 Singles/Doubles Points AMATEUR
ROB MENEGHIN,ROB MENEGHIN (MI),1182/1182 Singles/Doubles Points ROOKIE
ROB MOLINA,ROB MOLINA (TX),1800/1800 Singles/Doubles Points AMATEUR
Rob Moss,Rob Moss (England),1800/1800 Singles/Doubles Points AMATEUR
ROB MUELLER,ROB MUELLER (CO),1800/1800 Singles/Doubles Points AMATEUR
ROB MUNRO,ROB MUNRO (FL),1182/1182 Singles/Doubles Points ROOKIE
Rob Nasello Jr.,Rob Nasello Jr. (LA),836/849 Singles/Doubles Points BEGINNER
ROB NELSON,ROB NELSON (CAN),1816/1800 Singles/Doubles Points AMATEUR
Rob Newmeyer,Rob Newmeyer (AZ),801/801 Singles/Doubles Points BEGINNER
Rob Ottinger,Rob Ottinger (IN),1182/1182 Singles/Doubles Points ROOKIE
Rob Pianovski,"Rob ""Pushkick Master"" Pianovski (AZ)",2398/2350 Singles/Doubles Points EXPERT
ROB PORTER,ROB PORTER (MN),1800/1800 Singles/Doubles Points AMATEUR
ROB RILEY,ROB RILEY (CT),1182/1182 Singles/Doubles Points ROOKIE
Rob Rottier,Rob Rottier (MI),801/801 Singles/Doubles Points BEGINNER
ROB RUPPERT,ROB RUPPERT (IN),1800/1800 Singles/Doubles Points AMATEUR
Rob Rushing,Rob Rushing (MN),1800/1800 Singles/Doubles Points AMATEUR
ROB RUSSELL,ROB RUSSELL (MN),1800/1800 Singles/Doubles Points AMATEUR
ROB SCHENK,ROB SCHENK (UT),1800/1800 Singles/Doubles Points AMATEUR
ROB SHIN,ROB SHIN (CAN),2139/2100 Singles/Doubles Points EXPERT
ROB SOKOLOWSKI,ROB SOKOLOWSKI (MD),1182/1182 Singles/Doubles Points ROOKIE
ROB SPAAN,ROB SPAAN (BC),1800/1800 Singles/Doubles Points AMATEUR
ROB STRICKO,ROB STRICKO (TX),1800/1800 Singles/Doubles Points AMATEUR
Rob Thatcher,Rob Thatcher (UT),800/800 Singles/Doubles Points BEGINNER
ROB THOMAS,KROB THOMAS (FR),1800/1800 Singles/Doubles Points AMATEUR
ROB TONEY,ROB TONEY (IA),1800/1800 Singles/Doubles Points AMATEUR
ROB TROUT,ROB TROUT (CA),1524/1769 Singles/Doubles Points AMATEUR
ROB TWEDDLE,ROB TWEDDLE (MI),1800/1800 Singles/Doubles Points AMATEUR
ROB WALLER,ROB WALLER (OK),1800/1800 Singles/Doubles Points AMATEUR
ROB WATSON,ROB WATSON (MI),1182/1182 Singles/Doubles Points ROOKIE
ROB WHITE,ROB WHITE (TX),1800/1800 Singles/Doubles Points AMATEUR
ROB WINTER,ROB WINTER (MI),1182/1182 Singles/Doubles Points ROOKIE
ROB WOLKLIN,ROB WOLKLIN (NJ),1800/1800 Singles/Doubles Points AMATEUR
ROB WOODLIFF,ROB WOODLIFF (UT),1800/1800 Singles/Doubles Points AMATEUR
ROB WOYAK,ROB WOYAK (IL),1800/1800 Singles/Doubles Points AMATEUR
ROB YAMMINE,ROB YAMMINE (NY),1800/1800 Singles/Doubles Points AMATEUR
ROB ZAHN,ROB ZAHN (SD),1800/1800 Singles/Doubles Points AMATEUR
ROBB JONES,ROBB JONES (CA),1182/1182 Singles/Doubles Points ROOKIE
Robbert De Clerck,Robbert De Clerck (Sint-Niklaas),1600/1600 Singles/Doubles Points AMATEUR
ROBBI SHOAF-ENGE,ROBBI SHOAF-ENGE (MA),1182/1182 Singles/Doubles Points ROOKIE
ROBBIE BENNETT,ROBBIE BENNETT (GA),1182/1182 Singles/Doubles Points ROOKIE
Robbie Cook,Robbie Cook (WA),1680/1600 Singles/Doubles Points AMATEUR
ROBBIE DAVIS,ROBBIE DAVIS (CO),1800/1800 Singles/Doubles Points AMATEUR
ROBBIE DUFFY,ROBBIE DUFFY (GA),1182/1182 Singles/Doubles Points ROOKIE
ROBBIE FURTER,ROBBIE FURTER (GA),801/801 Singles/Doubles Points BEGINNER
ROBBIE HERRINGTON,ROBBIE HERRINGTON (TN),1182/1182 Singles/Doubles Points ROOKIE
ROBBIE KOONTS,ROBBIE KOONTS (NC),1800/1800 Singles/Doubles Points AMATEUR
ROBBIE MCNATT,ROBBIE MCNATT (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBBIE MOORE,ROBBIE MOORE (AL),1800/1800 Singles/Doubles Points AMATEUR
ROBBIE ROCKWELL,ROBBIE MOORE (AL),1800/1800 Singles/Doubles Points AMATEUR
ROBBIE SIMPSON,ROBBIE ROCKWELL (CA),1800/1800 Singles/Doubles Points AMATEUR
ROBBIE VENTERS,ROBBIE VENTERS (MS),1100/1113 Singles/Doubles Points ROOKIE
Robbie Wares,"Robbie ""Wedge"" Wares (KS)",1800/1800 Singles/Doubles Points AMATEUR
ROBBY DEVOE,ROBBY DEVOE (OH),1800/1800 Singles/Doubles Points AMATEUR
Robby Faulk,Robby Faulk (LA),1816/1804 Singles/Doubles Points AMATEUR
ROBBY KINSEY,ROBBY KINSEY (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBBY WILSON,ROBBY WILSON (AL),1800/1800 Singles/Doubles Points AMATEUR
ROBBY YBARRA,ROBBY YBARRA (TX),1800/1800 Singles/Doubles Points AMATEUR
Robert Abendroth,Robert Abendroth (NY),800/800 Singles/Doubles Points BEGINNER
ROBERT ALADANA,ROBERT ALADANA (GA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ALDANA,ROBERT ALDANA (GA),1800/1800 Singles/Doubles Points AMATEUR
Robert Allen,ROBERT ALLEN (CO),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ALLEN,ROBERT ALLEN (CO),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ALVA,ROBERT ALVA (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ALVAREZ,ROBERT ALVAREZ (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ANDRES,ROBERT ANDRES (NY),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ANDREZ,ROBERT ANDREZ (CO),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ARNOLD,ROBERT ARNOLD (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ATKISON,ROBERT ATKISON (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT AVITTS,ROBERT AVITTS (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BALAVITCH,ROBERT BALAVITCH (MI),1800/1808 Singles/Doubles Points AMATEUR
Robert Banta Senior,Robert J Banta Senior (LA),1776/1772 Singles/Doubles Points AMATEUR
ROBERT BARTIER,ROBERT BARTIER (MA),1182/1182 Singles/Doubles Points ROOKIE
ROBERT BASSO,ROBERT BASSO (CA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BEARE,ROBERT BEARE (AR),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BENAVIDES,ROBERT BEARE (AR),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BERNECKER,ROBERT BENAVIDES (OH),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BIDDY,ROBERT BIDDY (TX),1600/1608 Singles/Doubles Points AMATEUR
ROBERT BIELSER,ROBERT BIELSER (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BIESLER,ROBERT BIESLER (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BLANCHARD,ROBERT BLANCHARD (LA),2420/2037 Singles/Doubles Points EXPERT
ROBERT BLEHMAN,ROBERT BLEHMAN (WI),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BLOSSER,ROBERT BLOSSER (WV),1001/1001 Singles/Doubles Points ROOKIE
ROBERT BOB BROKAW,ROBERT BOB BROKAW (),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BOOTIER,ROBERT BOOTIER (NY),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BRAGE,ROBERT BRAGE (MA),1182/1182 Singles/Doubles Points ROOKIE
ROBERT BRATE,ROBERT BRATE (FL),1800/1874 Singles/Doubles Points AMATEUR
ROBERT BREAKIRON,ROBERT BREAKIRON (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BROOKS,ROBERT BROOKS (TN),1182/1182 Singles/Doubles Points ROOKIE
ROBERT BRUMLEY,ROBERT BRUMLEY (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBERT BUNER,ROBERT BUNER (MA),1182/1182 Singles/Doubles Points ROOKIE
ROBERT BURKE,ROBERT BURKE (TX),1800/1800 Singles/Doubles Points AMATEUR
Robert Burns,Robert Burns (TX),800/831 Singles/Doubles Points BEGINNER
ROBERT BURTON,ROBERT BURTON (FL),2002/2214 Singles/Doubles Points EXPERT
Robert Caballero,Robert Caballero (LA),810/818 Singles/Doubles Points BEGINNER
ROBERT CASSITY,ROBERT CASSITY (),1800/1832 Singles/Doubles Points AMATEUR
ROBERT CASTILLEJA,ROBERT CASTILLEJA (TX),1182/1182 Singles/Doubles Points ROOKIE
Robert Chambers,Robert Chambers (TX),1182/1182 Singles/Doubles Points ROOKIE
ROBERT CITTADINO,ROBERT CITTADINO (CO),1800/1800 Singles/Doubles Points AMATEUR
ROBERT COLEMAN,ROBERT W COLEMAN (GA),1624/1687 Singles/Doubles Points AMATEUR
ROBERT CONLEY,ROBERT CONLEY (GA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT COSTE,ROBERT COSTE (LA),1182/1182 Singles/Doubles Points ROOKIE
Robert Cralle,ROBERT COSTE (LA),1182/1182 Singles/Doubles Points ROOKIE
ROBERT CURRAN,Robert Cralle (VA),801/801 Singles/Doubles Points BEGINNER
ROBERT DAFOE,ROBERT DAFOE (AZ),1800/1800 Singles/Doubles Points AMATEUR
ROBERT DARLING,ROBERT DARLING (OK),1800/1800 Singles/Doubles Points AMATEUR
Robert Davey,Robert Davey (ENGLAND),1800/1800 Singles/Doubles Points AMATEUR
ROBERT DAVIDSON,ROBERT DAVIDSON (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBERT DELANEY,ROBERT DELANEY (CO),1182/1182 Singles/Doubles Points ROOKIE
ROBERT DELIN,ROBERT DELIN (CO),1800/1800 Singles/Doubles Points AMATEUR
ROBERT DEMERS,ROBERT DEMERS (CN),1800/1800 Singles/Doubles Points AMATEUR
Robert Devito,Robert Devito (NY),1830/2204 Singles/Doubles Points EXPERT
ROBERT DUCKWORTH,ROBERT DUCKWORTH (ID),1800/1800 Singles/Doubles Points AMATEUR
ROBERT EMBRY,ROBERT EMBRY (AZ),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ERIC MUNRO JR,ROBERT ERIC MUNRO JR (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ESCOBAR,ROBERT ESCOBAR (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT FLOWERS,ROBERT FLOWERS (IL),800/816 Singles/Doubles Points BEGINNER
ROBERT GARCIA,ROBERT P GARCIA (TX),2013/2396 Singles/Doubles Points EXPERT
ROBERT GARCIA JR,ROBERT GARCIA JR (TX),1182/1182 Singles/Doubles Points ROOKIE
ROBERT GEIGER,ROBERT GEIGER (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT GINGELL,ROBERT A GINGELL (CAN),1600/2088 Singles/Doubles Points EXPERT
ROBERT GRAY,ROBERT GRAY (VA),1182/1182 Singles/Doubles Points ROOKIE
ROBERT GUERNSEY,ROBERT GUERNSEY (CO),801/801 Singles/Doubles Points BEGINNER
ROBERT HALLMARK,ROBERT HALLMARK (GA),1182/1182 Singles/Doubles Points ROOKIE
Robert Hamilton,"Robert ""Bob"" W Hamilton (OH)",1902/2166 Singles/Doubles Points EXPERT
ROBERT HARDIN,ROBERT HARDIN (KY),1182/1182 Singles/Doubles Points ROOKIE
ROBERT HARLESTON,ROBERT HARLESTON (NC),1800/1800 Singles/Doubles Points AMATEUR
ROBERT HASTEY,ROBERT HASTEY (CA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT HATCHER,ROBERT HATCHER (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT HAYS,ROBERT HAYS (OR),3353/3783 Singles/Doubles Points PRO
ROBERT HENDERSON,ROBERT HENDERSON (TN),1800/1800 Singles/Doubles Points AMATEUR
ROBERT HENKES,ROBERT HENKES (CO),1800/1800 Singles/Doubles Points AMATEUR
ROBERT HENNIS,ROBERT HENNIS (IL),1800/1800 Singles/Doubles Points AMATEUR
ROBERT HINEBAUGH,ROBERT HINEBAUGH (NC),1800/1800 Singles/Doubles Points AMATEUR
ROBERT HUDSON,ROBERT HUDSON (KS),1800/1800 Singles/Doubles Points AMATEUR
ROBERT HURTADO,ROBERT HURTADO (TX),1800/1800 Singles/Doubles Points AMATEUR
Robert Ikervari,Robert Ikervari (Budapest),1600/1600 Singles/Doubles Points AMATEUR
ROBERT ISMERT,Robert Ikervari (Budapest),1600/1600 Singles/Doubles Points AMATEUR
ROBERT JANAC,ROBERT ISMERT (XX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT JAYME,ROBERT JAYME (AZ),1800/1800 Singles/Doubles Points AMATEUR
ROBERT JENKINS,ROBERT JENKINS (GA),1182/1182 Singles/Doubles Points ROOKIE
ROBERT KAISER,ROBERT JENKINS (GA),1182/1182 Singles/Doubles Points ROOKIE
Robert Kase,ROBERT KAISER (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT KAYLER,ROBERT KAYLER (NC),1800/1800 Singles/Doubles Points AMATEUR
ROBERT KETENJIAN,ROBERT KETENJIAN (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT KLEMONS,ROBERT KLEMONS (FL),1800/1800 Singles/Doubles Points AMATEUR
ROBERT LEE MERRILL,ROBERT LEE MERRILL (),1182/1182 Singles/Doubles Points ROOKIE
ROBERT LOEHLEIN,ROBERT LOEHLEIN (WI),1800/1800 Singles/Doubles Points AMATEUR
ROBERT LOWE,ROBERT LOWE (AL),1216/1522 Singles/Doubles Points AMATEUR
ROBERT LUKAS,ROBERT LUKAS (CH),2100/2100 Singles/Doubles Points EXPERT
ROBERT LUTZKA,ROBERT LUTZKA (IL),1800/1800 Singles/Doubles Points AMATEUR
ROBERT MACGREGOR,ROBERT MACGREGOR (OK),1800/1800 Singles/Doubles Points AMATEUR
Robert Maloney,"Robert ""bones"" J Maloney (CO)",3300/3300 Singles/Doubles Points PRO
ROBERT MARENDA,ROBERT MARENDA (WI),1800/1855 Singles/Doubles Points AMATEUR
ROBERT MARES,"ROBERT ""Rapid Rob"" MARES (CO)",5497/5643 Singles/Doubles Points MASTER
Robert Matanguihan,Robert T Matanguihan (OH),1800/1800 Singles/Doubles Points AMATEUR
ROBERT MATTHEWS,ROBERT MATTHEWS (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT MAY,ROBERT MAY (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT MERRITT,ROBERT MERRITT (SC),2032/2076 Singles/Doubles Points EXPERT
Robert Michaud,"Robert ""rob"" Michaud (ME)",1182/1182 Singles/Doubles Points ROOKIE
ROBERT MINER,ROBERT MINER (AZ),1800/1800 Singles/Doubles Points AMATEUR
ROBERT MINGE,ROBERT MINGE (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBERT MOLICK,ROBERT MOLICK (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT MORRIS,ROBERT MORRIS (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBERT MOWLES,ROBERT MOWLES (TX),1800/1800 Singles/Doubles Points AMATEUR
Robert Mulch,Robert Mulch (),1900/1900 Singles/Doubles Points AMATEUR
Robert Navarra,Robert P Navarra (MI),2200/2325 Singles/Doubles Points EXPERT
ROBERT NEAL,ROBERT NEAL (CO),1800/1800 Singles/Doubles Points AMATEUR
ROBERT NORWOOD,ROBERT NORWOOD (AL),1800/1800 Singles/Doubles Points AMATEUR
ROBERT O'REAR,ROBERT O'REAR (NY),1800/1800 Singles/Doubles Points AMATEUR
ROBERT OWEN,ROBERT L OWEN (AL),1182/1182 Singles/Doubles Points ROOKIE
Robert Parker,Robert Parker (CA),1182/1182 Singles/Doubles Points ROOKIE
Robert Parsons,"Robert ""Hot Dog"" Parsons (KY)",1600/1644 Singles/Doubles Points AMATEUR
ROBERT PATTERSON,ROBERT PATTERSON (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT PEARCE,ROBERT PEARCE (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBERT PERCHES,ROBERT PERCHES (TX),1182/1182 Singles/Doubles Points ROOKIE
ROBERT PERRY,ROBERT PERRY (CA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT PETERSON,ROBERT PETERSON (WI),1800/1800 Singles/Doubles Points AMATEUR
ROBERT PIASECKI JR,ROBERT PIASECKI JR (OH),1800/1800 Singles/Doubles Points AMATEUR
ROBERT PIERCE,ROBERT PIASECKI JR (OH),1800/1800 Singles/Doubles Points AMATEUR
Robert Pilchowski,ROBERT PIERCE (NY),1800/1800 Singles/Doubles Points AMATEUR
Robert Pirtle,Robert Pirtle (TX),801/833 Singles/Doubles Points BEGINNER
Robert Ploeger,Robert Ploeger (CN),2736/2800 Singles/Doubles Points EXPERT
ROBERT POSEY,ROBERT POSEY (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT POWELL,ROBERT POWELL (MS),1800/1800 Singles/Doubles Points AMATEUR
ROBERT PRATT,ROBERT PRATT (AK),1182/1182 Singles/Doubles Points ROOKIE
Robert RALSTON,ROBERT PRATT (AK),1182/1182 Singles/Doubles Points ROOKIE
ROBERT RASSO,Chris Robert RALSTON (CO),801/1061 Singles/Doubles Points ROOKIE
Robert Reed,Robert Reed (KY),801/801 Singles/Doubles Points BEGINNER
ROBERT REED JR,ROBERT REED JR (CA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT REESE,ROBERT REESE (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT REGINO,ROBERT REGINO (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT REYNOLDS,ROBERT REYNOLDS (MN),1800/1800 Singles/Doubles Points AMATEUR
ROBERT RIASECKI,ROBERT RIASECKI (OH),1800/1800 Singles/Doubles Points AMATEUR
Robert Rice,Robert Rice (OH),801/801 Singles/Doubles Points BEGINNER
ROBERT RICHARDSON,ROBERT RICHARDSON (TX),1182/1182 Singles/Doubles Points ROOKIE
Robert Robert Atkinson,Robert Robert Atkinson (UT),800/800 Singles/Doubles Points BEGINNER
robert Roberts,ROBERT ROBERTS (MO),1182/1182 Singles/Doubles Points ROOKIE
ROBERT ROBERTS,ROBERT ROBERTS (MO),1182/1182 Singles/Doubles Points ROOKIE
ROBERT ROGERS,ROBERT ROGERS (NE),1800/1800 Singles/Doubles Points AMATEUR
ROBERT ROMANOWICZ,ROBERT ROMANOWICZ (FL),1182/1182 Singles/Doubles Points ROOKIE
ROBERT ROTH,ROBERT ROTH (PA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT RUSSELL,ROBERT RUSSELL (NY),1800/1800 Singles/Doubles Points AMATEUR
ROBERT SACHS,ROBERT SACHS (NY),1800/1800 Singles/Doubles Points AMATEUR
robert sample,"robert ""Alkholic"" l sample (KY)",1182/1182 Singles/Doubles Points ROOKIE
ROBERT SANTOS,ROBERT SANTOS (TX),1600/1600 Singles/Doubles Points AMATEUR
ROBERT SCANLON,ROBERT SCANLON (NH),1182/1182 Singles/Doubles Points ROOKIE
Robert Schiro,Robert Schiro (TX),1100/1100 Singles/Doubles Points ROOKIE
Robert Schneider,Robert Schneider (CA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT SCHULTE,Robert Schneider (CA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT SELLERS,ROBERT SCHULTE (NM),1800/1800 Singles/Doubles Points AMATEUR
ROBERT SEVERSON,ROBERT SEVERSON (MO),801/801 Singles/Doubles Points BEGINNER
Robert Shields,Robert Shields (NY),800/800 Singles/Doubles Points BEGINNER
ROBERT SIMMONS,ROBERT SIMMONS (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT SKOLNICK,ROBERT SKOLNICK (CO),1800/1800 Singles/Doubles Points AMATEUR
ROBERT SONGE,ROBERT SONGE (LA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT SORRENTINO,ROBERT SORRENTINO (FL),1182/1182 Singles/Doubles Points ROOKIE
ROBERT SPERRY,ROBERT SPERRY (MO),1800/1800 Singles/Doubles Points AMATEUR
ROBERT SPRINGER,ROBERT SPRINGER (NM),1800/1800 Singles/Doubles Points AMATEUR
ROBERT STALKER,"ROBERT ""Stalker"" R STALKER (IL)",2214/2439 Singles/Doubles Points EXPERT
ROBERT STEVENS,ROBERT STEVENS (UT),802/802 Singles/Doubles Points BEGINNER
ROBERT STULTZ,ROBERT STULTZ (TX),1600/1600 Singles/Doubles Points AMATEUR
ROBERT TAYLOR,ROBERT TAYLOR (IL),1800/1800 Singles/Doubles Points AMATEUR
ROBERT TAYLOR,ROBERT TAYLOR (IL),1800/1800 Singles/Doubles Points AMATEUR
ROBERT TIDDICK,ROBERT TIDDICK (NY),1182/1182 Singles/Doubles Points ROOKIE
ROBERT TOWNSLEY,ROBERT TOWNSLEY (ID),1800/1800 Singles/Doubles Points AMATEUR
ROBERT UYEYAMA,ROBERT UYEYAMA (CA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT VASQUEZ,ROBERT VASQUEZ (UT),1800/1800 Singles/Doubles Points AMATEUR
ROBERT VEALE,ROBERT VEALE (IN),1800/1800 Singles/Doubles Points AMATEUR
ROBERT WARREN,ROBERT WARREN (TX),1182/1182 Singles/Doubles Points ROOKIE
ROBERT WATSON,ROBERT WATSON (CA),1800/1800 Singles/Doubles Points AMATEUR
ROBERT WHALEY,ROBERT WHALEY (TX),1800/1800 Singles/Doubles Points AMATEUR
ROBERT WHITWORTH,ROBERT WHITWORTH (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBERT WIGAND,ROBERT WIGAND (NY),2166/2166 Singles/Doubles Points EXPERT
ROBERT WILLIAMSON,ROBERT WILLIAMSON (TX),1182/1182 Singles/Doubles Points ROOKIE
ROBERT YATES JUNIOR,ROBERT YATES JUNIOR (NC),2100/2092 Singles/Doubles Points EXPERT
ROBERT YATES SENIOR,ROBERT YATES SENIOR (NC),1600/1600 Singles/Doubles Points AMATEUR
ROBERTA GARNER,ROBERTA GARNER (WA),1800/1800 Singles/Doubles Points AMATEUR
Roberto Buoscio,Roberto Buoscio (Wädenswil),3100/3100 Singles/Doubles Points PRO
Roberto Diercks,Roberto Diercks (Dinslaken),2600/2600 Singles/Doubles Points EXPERT
ROBERTO LORIA,ROBERTO LORIA (CR),2692/2648 Singles/Doubles Points EXPERT
Roberto Pepe,Roberto Pepe (Zürich),1600/1600 Singles/Doubles Points AMATEUR
ROBERTO PINEDA,ROBERTO PINEDA (OK),1800/1800 Singles/Doubles Points AMATEUR
ROBERTO ROBLES,ROBERTO ROBLES (CT),1182/1182 Singles/Doubles Points ROOKIE
ROBERTO SCHNEIDER,ROBERTO SCHNEIDER (CA),1800/1800 Singles/Doubles Points AMATEUR
Roberto Vasquez Angel,Roberto Vasquez Angel (Frankfurt),1600/1600 Singles/Doubles Points AMATEUR
ROBIE EDWARDS,ROBIE EDWARDS (GA),1182/1182 Singles/Doubles Points ROOKIE
Robin Adcock,ROBIE EDWARDS (GA),1182/1182 Singles/Doubles Points ROOKIE
ROBIN CAMPBELL,Robin Adcock (CO),2092/2120 Singles/Doubles Points EXPERT
ROBIN CHEPWICK,ROBIN CHEPWICK (NY),1800/1800 Singles/Doubles Points AMATEUR
